"","sample","total.leaf.area"
"192","p69r2",35.898
"193","p69r3",60.905
"194","p6r1",25.241
"195","p6r2",31.218
"196","p6r3",33.177
"197","p70r1",39.942
"198","p70r2",31.495
"199","p70r3",23.628
"200","p71r1",51.145
"201","p71r2",47.537
"202","p71r3",61.887
"203","p72r1",49.994
"204","p72r2",83.457
"205","p72r3",35.218
"206","p73r1",39.793
"207","p73r2",32.979
"208","p73r3",65.561
"209","p74r1",37.649
"210","p74r2",52.489
"211","p74r3",66.97
"212","p75r1",75.809
"213","p75r2",47.728
"214","p75r3",42.461
"215","p76r1",46.358
"216","p76r2",45.606
"217","p76r3",52.161
"218","p77r1",28.257
"219","p77r2",32.525
"220","p77r3",48.505
"221","p78r1",47.251
"222","p78r2",21.205
"223","p78r3",43.127
"224","p79r1",66.359
"225","p79r2",51.308
"226","p79r3",41.465
"227","p7r2",35.851
"228","p7r3",41.228
"229","p80r1",60.963
"230","p80r2",51.35
"231","p80r3",55.581
"232","p81r1",84.954
"233","p81r2",80.706
"234","p81r3",57.111
"235","p82r1",75.932
"236","p82r2",65.429
"237","p82r3",35.606
"238","p8r1",34.301
"239","p8r2",30.941
"240","p8r3",31.787
"241","p9r1",29.176
"242","p9r2",43.883
"243","p9r3",35.527
