sample,total.leaf.area,weight,sla
p48r2,38.587,0.2217,174.0505187
p48r3,29.711,0.1449,205.0448585
p49r1,26.481,0.1539,172.0662768
p49r2,36.734,0.2201,166.8968651
p49r3,45.304,0.2596,174.5146379
p4r1,41.683,0.1606,259.5454545
p4r2,28.367,0.1213,233.8582028
p4r3,34.835,0.1487,234.263618
p50r1,64.119,0.3399,188.6407767
p50r2,22.747,0.1439,158.0750521
p50r3,54.258,0.4,135.645
p51r1,27.612,0.228,121.1052632
p51r2,42.191,0.2662,158.4936138
p51r3,42.275,0.2667,158.5114361
p52r1,73.09,0.4658,156.9128381
p52r2,57.484,0.3435,167.3478894
p52r3,36.42,0.2105,173.0166271
p53r1,63.175,0.2787,226.6774309
p53r2,66.323,0.2911,227.8357953
p53r3,75.048,0.3908,192.0368475
p54r1,41.159,0.2477,166.1647154
p54r2,43.076,0.2697,159.7182054
p54r3,47.511,0.2935,161.8773424
p55r1,63.862,0.3676,173.726877
p55r2,49.043,0.2621,187.1156047
p55r3,72.029,0.4887,147.3889912
p56r1,35.341,0.1794,196.9955407
p56r2,56.577,0.3255,173.8156682
p56r3,49.341,0.3525,139.9744681
p57r1,88.986,0.5476,162.5018262
p57r2,72.358,0.4158,174.021164
p57r3,41.085,0.3153,130.3044719
p58r1,27.414,0.149,183.9865772
p58r2,39.209,0.1771,221.3946923
p58r3,49.178,0.2566,191.6523772
p59r1,54.159,0.3306,163.8203267
p59r2,47.785,0.2596,184.0716487
p59r3,30.371,0.1509,201.2657389
p5r1,28.619,0.1161,246.5030146
p5r2,27.335,0.1234,221.5153971
p5r3,34.632,0.1529,226.500981
p60r1,42.319,0.2699,156.7951093
p60r2,57.388,0.3227,177.8370003
p60r3,87.642,0.4867,180.0739675
p61r1,41.032,0.2757,148.8284367
p61r2,55.902,0.3396,164.6113074
p61r3,47.738,0.2869,166.3924712
p62r1,83.611,0.5864,142.5835607
p62r2,55.869,0.2929,190.7442813
p62r3,63.609,0.3117,204.0712223
p63r1,73.119,0.4184,174.7586042
p63r2,54.239,0.3326,163.0757667
p63r3,59.102,0.3616,163.4457965
p64r1,60.71,0.3683,164.8384469
p64r2,58.652,0.3357,174.7155198
p64r3,53.111,0.3063,173.395364
p65r1,54.13,0.3617,149.6544097
p65r3,59.28,0.3837,154.4956998
p66r1,28.155,0.2011,140.0049727
p66r2,33.894,0.2174,155.9061638
p66r3,49.49,0.3067,161.3628953
p67r1,19.826,0.1629,121.7065684
p67r2,52.375,0.3324,157.5661853
p67r3,28.554,0.171,166.9824561
p68r1,38.895,0.2147,181.1597578
p68r2,43.734,0.2501,174.8660536
p68r3,25.288,0.1589,159.1441158
p69r1,16.747,0.0861,194.5063879
p69r2,35.898,0.194,185.0412371
p69r3,60.905,0.36,169.1805556
p6r1,25.241,0.1624,155.4248768
p6r2,31.218,0.1123,277.9875334
p6r3,33.177,0.1748,189.7997712
p70r1,39.942,0.2953,135.2590586
p70r2,31.495,0.1967,160.1169293
p70r3,23.628,0.2297,102.864606
