planting,day,month,year,sample,plot,rep,total.leaf.area,weight,sla
late,9,7,2019,p75r3,75,3,42.461,0.3101,136.9267978
late,9,7,2019,p76r1,76,1,46.358,0.3868,119.8500517
late,9,7,2019,p76r2,76,2,45.606,0.3231,141.1513463
late,9,7,2019,p76r3,76,3,52.161,0.3732,139.766881
late,9,7,2019,p77r1,77,1,28.257,0.1504,187.8789894
late,9,7,2019,p77r2,77,2,32.525,0.1864,174.4903433
late,9,7,2019,p77r3,77,3,48.505,0.259,187.2779923
late,9,7,2019,p78r1,78,1,47.251,0.3147,150.146171
late,9,7,2019,p78r2,78,2,21.205,0.162,130.8950617
late,9,7,2019,p78r3,78,3,43.127,0.1992,216.501004
late,9,7,2019,p79r1,79,1,66.359,0.3734,177.7155865
late,9,7,2019,p79r2,79,2,51.308,0.2161,237.4271171
late,9,7,2019,p79r3,79,3,41.465,0.2293,180.8329699
early,9,7,2019,p7r1,7,1,27.112,0.1141,237.6161262
early,9,7,2019,p7r2,7,2,35.851,0.1116,321.2455197
early,9,7,2019,p7r3,7,3,41.228,0.1793,229.9386503
late,9,7,2019,p80r1,80,1,60.963,0.4218,144.5305832
late,9,7,2019,p80r2,80,2,51.35,0.3543,144.933672
late,9,7,2019,p80r3,80,3,55.581,0.3614,153.7935805
late,9,7,2019,p81r1,81,1,84.954,0.5152,164.8951863
late,9,7,2019,p81r2,81,2,80.706,0.5147,156.8020206
late,9,7,2019,p81r3,81,3,57.111,0.3682,155.1086366
late,9,7,2019,p82r1,82,1,75.932,0.5755,131.9409209
late,9,7,2019,p82r2,82,2,65.429,0.5512,118.7028302
late,9,7,2019,p82r3,82,3,35.606,0.2543,140.0157295
early,9,7,2019,p8r1,8,1,34.301,0.1413,242.7530078
early,9,7,2019,p8r2,8,2,30.941,0.1297,238.5582113
early,9,7,2019,p8r3,8,3,31.787,0.1438,221.0500695
early,9,7,2019,p9r1,9,1,29.176,0.1296,225.1234568
early,9,7,2019,p9r2,9,2,43.883,0.2073,211.6883743
early,9,7,2019,p9r3,9,3,35.527,0.1693,209.8464265
