B_Obs,Time,LAI,GAP[1],GAP[2],GAP[3],GAP[4],GAP[5]
1414,11:17:26,3.95533,0.0554743,0.0392039,0.134258,0.0202651,0.0239723
1417,11:17:31,5.79543,0.0135748,0.0102563,0.0131329,0.0113347,0.003788
1423,11:17:52,3.75914,0.123625,0.184504,0.0361777,0.0234536,0.0384064
1426,11:17:59,3.30823,0.0592265,0.043432,0.211377,0.0420287,0.0570677
1429,11:18:06,3.30296,0.0294268,0.114819,0.070076,0.0578976,0.0733068
1435,11:18:28,4.06489,0.0206281,0.0301557,0.0915605,0.0204744,0.0436367
1438,11:18:34,3.7794,0.0894472,0.0125295,0.0328513,0.0986418,0.0796722
1441,11:18:40,2.48732,0.0797041,0.410985,0.142219,0.109487,0.0679393
1447,11:19:00,3.92077,0.0218581,0.124663,0.0694884,0.033806,0.0137415
1450,11:19:09,2.96048,0.113091,0.0845926,0.120077,0.100753,0.0586201
1453,11:19:16,3.21344,0.553744,0.12773,0.0560545,0.0685749,0.0383664
1459,11:19:31,4.288,0.321044,0.0107759,0.0894359,0.0420434,0.00759398
1462,11:19:34,3.98644,0.0179225,0.0424519,0.0455545,0.0416002,0.0402352
1465,11:19:39,2.94117,0.0426803,0.0801922,0.160182,0.161237,0.0331791
1471,11:20:09,3.143,0.0233062,0.280144,0.0628922,0.107243,0.0309284
1474,11:20:13,3.68483,0.123014,0.0379691,0.0303512,0.127207,0.0281073
1477,11:20:18,4.70989,0.00968659,0.0203753,0.0166244,0.0382918,0.0222685
1483,11:20:34,3.38235,0.0269633,0.0651214,0.0626821,0.130694,0.0352868
1486,11:20:39,4.26123,0.323471,0.036357,0.0389615,0.0235943,0.0165086
1489,11:20:46,4.61345,0.0476974,0.0448074,0.044957,0.016427,0.00856521
1495,11:21:05,1.58394,0.265424,0.385359,0.359722,0.198793,0.241444
1498,11:21:10,3.74696,0.0685714,0.0575454,0.0368876,0.0492825,0.0518845
1501,11:21:16,3.22159,0.106315,0.110322,0.0783862,0.0826321,0.0369531
1507,11:21:30,3.60468,0.0390564,0.0552104,0.141591,0.0621905,0.0153737
1510,11:21:34,3.88311,0.0165321,0.0283327,0.098563,0.0581524,0.0219787
1513,11:21:38,4.34427,0.0191196,0.0150924,0.0231532,0.0454857,0.0528536
1519,11:22:00,3.6676,0.053422,0.0358568,0.0276559,0.141128,0.0404358
1522,11:22:04,2.94529,0.194036,0.0713524,0.125326,0.139845,0.0370869
1525,11:22:09,4.05465,0.223343,0.0501032,0.0427176,0.0300115,0.0198157
1531,11:22:22,3.38996,0.0211534,0.0503246,0.0304339,0.189441,0.0698279
1534,11:22:25,3.79332,0.0275359,0.0624041,0.0709363,0.0833201,0.0114597
1537,11:22:29,5.34383,0.0324823,0.00793823,0.0109404,0.0108815,0.0290415
1543,11:22:48,4.73849,0.262335,0.0778897,0.0155601,0.00946555,0.0143243
1546,11:22:53,3.36841,0.0802411,0.101814,0.194222,0.0335227,0.0274321
1549,11:22:58,5.33254,0.0110404,0.00579777,0.00612488,0.0400391,0.0197362
1555,11:23:34,4.26113,0.352211,0.0159621,0.0183592,0.0421292,0.040496
1558,11:23:39,5.30357,0.0267262,0.0105432,0.0224706,0.0100237,0.0126144
1561,11:23:44,4.76866,0.122021,0.119223,0.0193444,0.00907734,0.0087392
1567,11:24:07,2.59101,0.17953,0.119181,0.613993,0.0714955,0.0329692
1570,11:24:13,4.01226,0.708343,0.154036,0.0299145,0.0210832,0.014036
1573,11:24:16,3.23257,0.0359342,0.061344,0.0772212,0.173501,0.0321015
1579,11:24:29,3.50315,0.0338077,0.0879283,0.0714018,0.079753,0.0256887
1582,11:24:33,4.6477,0.0193833,0.102553,0.0193882,0.0173533,0.0119814
1585,11:24:38,5.02016,0.0303121,0.0659574,0.0186873,0.010086,0.00803503
1591,11:25:38,2.14813,0.191016,0.115136,0.576746,0.114772,0.108351
1594,11:25:48,2.31236,0.301349,0.101079,0.186343,0.260959,0.0726946
1597,11:25:57,5.12363,0.0163477,0.0135898,0.0188736,0.0101256,0.0289718
1603,11:26:30,6.24189,0.257232,0.00851606,0.00390763,0.0031656,0.00794973
1606,11:26:35,3.99927,0.0131099,0.0612642,0.127605,0.0206847,0.0216517
1609,11:26:41,4.04665,0.0734812,0.0265907,0.0851343,0.0351,0.0182585
1615,11:27:31,3.0132,0.0477625,0.189854,0.0947443,0.0554763,0.0889171
1618,11:27:34,4.34499,0.0339767,0.083804,0.0327022,0.0304466,0.00962309
1621,11:27:37,2.99726,0.0642206,0.0872211,0.110104,0.162201,0.0340413
1627,11:28:02,5.06085,0.017283,0.0400506,0.00969721,0.0176443,0.0138118
1630,11:28:05,2.368,0.127932,0.0395132,0.347251,0.388612,0.0500211
1633,11:28:11,4.67674,0.0241591,0.189031,0.0126199,0.0155101,0.0110635
1639,11:28:48,4.61507,0.0790642,0.0406527,0.0621987,0.0108732,0.00937116
1642,11:28:54,2.88546,0.0992268,0.0975566,0.131908,0.123614,0.0481135
1645,11:28:58,3.89591,0.0285884,0.0422106,0.058072,0.0348152,0.0470794
1651,11:30:22,4.7072,0.279937,0.0953148,0.00936726,0.00884969,0.0270642
1654,11:30:29,5.76345,0.0125697,0.00693672,0.0165026,0.00650717,0.0103842
1657,11:30:39,2.40772,0.0458775,0.251505,0.133702,0.188336,0.0907253
1663,11:31:01,3.48084,0.0235202,0.0463736,0.0453767,0.129752,0.0522222
1666,11:31:06,3.05208,0.413955,0.168164,0.241836,0.0239319,0.0424735
1669,11:31:11,3.68557,0.0166837,0.0572529,0.0347074,0.0598762,0.0863492
1675,11:31:32,3.41666,0.406424,0.0412348,0.0402265,0.0990699,0.0508414
1678,11:31:35,3.71311,0.416016,0.0418064,0.0349027,0.0687358,0.0304852
1681,11:31:37,3.84425,0.463975,0.050705,0.0373858,0.0409833,0.0273321
1687,11:32:09,8.70371,0.00579031,0.00123589,0.00100118,0.000420683,0.00089142
1690,11:32:13,3.02955,0.0952343,0.0538321,0.0762355,0.230191,0.0408108
1693,11:32:18,2.12967,0.0886219,0.289853,0.0821892,0.375429,0.136155
1699,11:32:43,5.35645,0.0321388,0.00570827,0.0102503,0.0556229,0.0043117
1702,11:32:47,6.99648,0.00688031,0.00181982,0.00618086,0.00281042,0.00374147
1705,11:32:50,6.81725,0.0401562,0.00480337,0.00368454,0.00288916,0.00312751
1711,11:34:07,2.87719,0.176691,0.147874,0.0784946,0.0909828,0.0810119
1714,11:34:14,3.76786,0.15256,0.118765,0.0165642,0.116331,0.0152776
1720,11:34:26,2.56571,0.14987,0.0512288,0.221774,0.25819,0.0522277
1726,11:34:48,2.0316,0.154101,0.478036,0.298208,0.136365,0.0846512
1729,11:34:51,3.49439,0.0490517,0.180626,0.0508745,0.0521721,0.0325409
1732,11:34:58,2.56302,0.0604078,0.0941774,0.150594,0.182439,0.103514
1738,11:35:19,2.53266,0.15692,0.125466,0.133103,0.186536,0.0738227
1741,11:35:27,2.82351,0.153498,0.142817,0.135078,0.0789621,0.0669806
1744,11:35:33,2.51637,0.178745,0.25671,0.451597,0.0964314,0.020651
1750,11:35:56,3.53322,0.0481385,0.067467,0.111292,0.0510794,0.0279205
1753,11:36:01,3.26118,0.0988025,0.205286,0.0845742,0.0786498,0.0173892
1756,11:36:03,4.04025,0.0230786,0.220175,0.0214545,0.0181723,0.0499606
1762,11:36:26,2.14919,0.545856,0.165606,0.1899,0.232332,0.0819419
1765,11:36:32,2.47265,0.0784869,0.395318,0.148922,0.121748,0.061222
1768,11:36:37,4.09572,0.308449,0.0354556,0.0421708,0.0300102,0.0214761
1774,11:36:57,3.44397,0.0382887,0.0409524,0.154218,0.0769181,0.0260625
1777,11:37:01,4.03601,0.040631,0.0104177,0.0121797,0.115711,0.122703
1780,11:37:05,2.77496,0.0420889,0.450433,0.102987,0.105819,0.0383763
1786,11:39:32,4.87368,0.0187173,0.0656285,0.0424039,0.0154322,0.00336226
1789,11:39:39,4.55508,0.00909423,0.0060957,0.0270438,0.0686472,0.0323278
1792,11:39:43,4.50912,0.00973846,0.0365612,0.150428,0.0121716,0.00879614
1798,11:40:13,3.55883,0.249055,0.102594,0.0346872,0.0492231,0.0448859
1801,11:40:18,4.72921,0.105381,0.0804174,0.0379077,0.00834064,0.00757972
1804,11:40:21,5.79374,0.153124,0.00548859,0.00784,0.00455976,0.0213452
1810,11:40:44,3.87286,0.073373,0.177291,0.0344315,0.0397324,0.0154294
1813,11:40:47,6.13438,0.119016,0.0078367,0.00801728,0.00447547,0.0042646
1816,11:40:52,3.94119,0.0315464,0.0407493,0.033407,0.0690518,0.0304764
1822,11:41:11,2.92616,0.0433844,0.0560833,0.184916,0.0868451,0.0970501
1825,11:41:15,4.04234,0.039518,0.173444,0.0596918,0.0222086,0.0110631
1828,11:41:18,5.29743,0.00741903,0.00743566,0.0144135,0.0420032,0.00653432
1834,11:42:07,3.49272,0.0820662,0.0806679,0.0719241,0.0658063,0.0282571
1837,11:42:10,3.11199,0.137803,0.0956648,0.155039,0.072517,0.0307545
1840,11:42:14,2.40637,0.235308,0.430616,0.250436,0.0648771,0.0643381
1846,11:42:30,5.67481,0.0255239,0.0134534,0.0134329,0.0076465,0.00644413
1849,11:42:32,3.29231,0.02182,0.032571,0.168837,0.115319,0.0361469
1852,11:42:36,5.0162,0.00804103,0.00642081,0.0105994,0.0178086,0.107344
1858,11:43:24,3.13142,0.11028,0.0296169,0.133473,0.110364,0.0633286
1861,11:43:27,3.54028,0.0155173,0.0776253,0.0476503,0.0681176,0.0661421
1864,11:43:31,2.88185,0.0358262,0.140861,0.155615,0.115037,0.042839
1870,11:43:47,5.40215,0.00659441,0.0514234,0.0306168,0.005998,0.00406886
1873,11:43:53,4.93115,0.00779236,0.00780813,0.0364059,0.0170202,0.0287471
1876,11:43:59,4.08587,0.0258604,0.0860128,0.0292557,0.0389678,0.0233502
1882,11:44:29,7.18672,0.00416698,0.00331417,0.00143337,0.00275268,0.00743791
1885,11:44:33,6.24979,0.00467904,0.0294694,0.00734633,0.00397885,0.00282743
1888,11:44:35,6.23939,0.00526407,0.0282148,0.00734117,0.00425307,0.002699
1894,11:44:58,4.91665,0.0653656,0.0575033,0.0351259,0.0106743,0.00453398
1897,11:45:03,4.98527,0.0125928,0.00914248,0.116134,0.0156316,0.00452221
1900,11:45:04,4.98294,0.0142398,0.00963385,0.116993,0.0143257,0.00466521
1906,11:45:27,3.79993,0.0649653,0.0246068,0.0174275,0.110155,0.080818
1909,11:45:33,2.52694,0.325905,0.0860685,0.11547,0.125798,0.176294
1912,11:45:37,2.68271,0.66451,0.244403,0.101498,0.101759,0.0439065
1918,11:45:56,4.65657,0.0806951,0.0299182,0.0395362,0.0113011,0.0176743
1921,11:46:01,4.44285,0.0649859,0.0875804,0.0661066,0.00787257,0.0137246
1924,11:46:04,3.07845,0.0851346,0.147208,0.0451059,0.0993396,0.0820019
1930,11:46:27,3.25956,0.317539,0.15735,0.0970166,0.0419749,0.031145
1933,11:46:31,3.63746,0.192851,0.122122,0.0668183,0.0336008,0.0226146
1936,11:46:35,4.00105,0.0320657,0.0457575,0.0172585,0.0600663,0.0591997
1942,11:46:58,4.97209,0.367873,0.024319,0.0155465,0.0143108,0.00876673
1945,11:47:02,3.09777,0.0786309,0.189781,0.0662838,0.0565577,0.0824267
1948,11:47:06,3.69063,0.0465252,0.151309,0.143461,0.0252813,0.0134734
1954,11:50:07,3.92126,0.228147,0.20676,0.030276,0.0153062,0.0335485
1957,11:50:14,5.34992,0.103189,0.0165377,0.0111403,0.00915829,0.0120185
1960,11:50:21,1.99961,0.155287,0.113331,0.605354,0.207286,0.0879492
1966,11:50:41,4.70297,0.163172,0.020159,0.0242418,0.0327167,0.00723573
1969,11:50:46,4.53299,0.30417,0.0162867,0.0128488,0.021534,0.0560778
1972,11:50:51,6.39535,0.00622078,0.00539033,0.0115945,0.00535232,0.00276427
1978,11:51:12,3.93977,0.03773,0.0531927,0.0770719,0.074384,0.00712689
1981,11:51:16,3.92586,0.0711598,0.0495179,0.0339844,0.0368518,0.0482779
1984,11:51:22,2.70799,0.118503,0.114808,0.136127,0.168628,0.0491239
1990,11:51:45,5.11713,0.0297707,0.0424852,0.0152784,0.00606614,0.0217875
1993,11:51:50,3.46883,0.100532,0.014482,0.221783,0.0873871,0.0249261
1996,11:51:55,4.05938,0.0140397,0.0267373,0.0937735,0.042537,0.0199859
