B_Obs,Time,LAI,GAP[1],GAP[2],GAP[3],GAP[4],GAP[5]
589,10:21:24,0.752241,0.967975,0.871275,0.498346,0.424455,0.45784
592,10:21:29,1.16234,0.522039,0.262673,0.395188,0.432473,0.451284
598,10:21:49,1.97185,0.36165,0.19184,0.475976,0.214896,0.0580473
601,10:21:55,2.16756,0.101939,0.299721,0.48048,0.118626,0.0589899
604,10:22:06,3.08279,0.0596052,0.144338,0.0546547,0.0583251,0.151467
610,10:22:18,2.68574,0.190969,0.105984,0.247771,0.114808,0.0400439
613,10:22:23,2.27174,0.418759,0.241686,0.0999436,0.219859,0.0920022
616,10:22:29,3.76601,0.0423989,0.230322,0.134312,0.0184142,0.0115996
622,10:23:29,2.2077,0.164039,0.0833244,0.208678,0.271469,0.132325
625,10:23:33,2.60614,0.0858805,0.208459,0.166236,0.0876818,0.0887803
628,10:23:38,2.1345,0.290985,0.127559,0.303878,0.288832,0.0561737
634,10:23:50,2.68646,0.183007,0.097828,0.0736766,0.0836486,0.307692
637,10:23:54,2.83345,0.029687,0.0648665,0.193173,0.165207,0.0535605
640,10:23:59,2.14973,0.151944,0.353097,0.265953,0.249129,0.0356626
646,10:24:23,2.63964,0.088495,0.201496,0.107224,0.105981,0.105774
649,10:24:28,1.43662,0.427425,0.46107,0.399114,0.28695,0.165249
652,10:24:34,1.63436,0.22311,0.505403,0.238445,0.240015,0.207651
658,10:24:51,1.44049,0.169369,0.283929,0.474622,0.281712,0.288047
661,10:24:56,1.63341,0.363132,0.211885,0.353172,0.306164,0.17902
664,10:25:00,1.9703,0.123285,0.608921,0.206677,0.178935,0.0997936
670,10:25:22,1.96297,0.177041,0.145708,0.158145,0.318193,0.226175
673,10:25:28,2.0932,0.550569,0.18397,0.228722,0.131225,0.161206
676,10:25:33,1.83124,0.318699,0.209234,0.149083,0.24352,0.347688
682,10:25:48,1.30875,0.583222,0.300341,0.35826,0.349136,0.326087
685,10:25:51,1.09903,0.211898,0.364619,0.619278,0.400741,0.359268
688,10:25:56,2.0387,0.462901,0.128413,0.278675,0.146593,0.200038
694,10:27:26,1.89564,0.556134,0.20474,0.152139,0.164305,0.386479
697,10:27:29,2.06377,0.194338,0.102397,0.112365,0.315519,0.319852
700,10:27:36,1.75831,0.155418,0.275503,0.189125,0.281442,0.273349
706,10:27:51,2.13367,0.888468,0.582348,0.109395,0.0977926,0.147435
709,10:27:55,1.70611,0.0769707,0.126873,0.395062,0.396561,0.219564
712,10:28:00,3.26787,0.0977281,0.0970276,0.0881361,0.0606263,0.0473966
718,10:28:19,1.90127,0.594666,0.265267,0.316565,0.155241,0.125153
721,10:28:25,1.77536,0.922621,0.611513,0.154058,0.132691,0.24559
724,10:28:29,2.08376,0.51136,0.0628476,0.208032,0.219576,0.264379
730,10:28:42,2.8841,0.203408,0.122694,0.112801,0.0589001,0.104555
733,10:28:46,2.75181,0.166645,0.0877306,0.162157,0.0980113,0.0815287
736,10:28:51,2.00866,0.398743,0.184181,0.147115,0.238964,0.18894
742,10:29:32,3.02493,0.315575,0.249131,0.0635938,0.0590758,0.0537452
745,10:29:38,2.59182,0.0878721,0.152037,0.191965,0.0863365,0.107691
748,10:29:43,1.97608,0.299154,0.403626,0.167291,0.184811,0.135302
754,10:29:55,1.97898,0.0881491,0.290304,0.216974,0.257871,0.123846
757,10:30:00,0.811676,0.871172,0.327227,0.540448,0.597701,0.537615
760,10:30:06,2.77688,0.0701065,0.119194,0.179506,0.0570215,0.135612
766,10:30:28,1.95064,0.445331,0.318285,0.323345,0.145348,0.101239
769,10:30:32,1.88925,0.240445,0.159994,0.280736,0.205178,0.225019
772,10:30:37,1.59248,0.828182,0.271323,0.558219,0.190945,0.138342
778,10:30:52,2.0557,0.300749,0.296778,0.181083,0.222417,0.0927178
781,10:30:57,2.24836,0.889343,0.263198,0.132474,0.110053,0.133803
784,10:31:03,1.93652,0.657133,0.409991,0.237394,0.138817,0.116187
790,10:31:25,1.50054,0.141017,0.194444,0.313365,0.361974,0.410617
793,10:31:30,2.32954,0.173357,0.245595,0.135547,0.141533,0.120375
796,10:31:34,2.07342,0.0725801,0.427048,0.173128,0.125225,0.2258
802,10:31:48,2.00196,0.201278,0.332367,0.361949,0.102403,0.144354
805,10:31:52,2.93533,0.0987545,0.232309,0.0861079,0.119272,0.0308548
808,10:31:58,3.90662,0.110882,0.0599826,0.0414443,0.0258112,0.0480438
814,10:32:19,1.56637,0.209585,0.430842,0.643636,0.166167,0.155634
817,10:32:25,2.69393,0.697232,0.161573,0.052028,0.150676,0.0821775
820,10:32:30,3.15875,0.119792,0.0484663,0.121399,0.0646668,0.0814744
826,10:32:44,2.12093,0.25679,0.155777,0.238187,0.173899,0.139386
829,10:32:49,0.788775,0.831476,0.913425,0.825439,0.429816,0.208196
832,10:32:54,2.16485,0.0720404,0.159199,0.387135,0.154457,0.110992
838,10:33:19,4.62568,0.00994469,0.0222049,0.048791,0.0412892,0.00667228
841,10:33:25,3.65205,0.0601452,0.0943434,0.0557858,0.0486312,0.0298521
844,10:33:33,5.01857,0.0145731,0.0666667,0.028601,0.0110378,0.00525735
850,10:33:54,4.54738,0.0255565,0.0800062,0.0126214,0.0127848,0.0539254
853,10:34:01,3.86153,0.0226205,0.100402,0.0762441,0.0253671,0.028012
856,10:34:06,1.83244,0.365907,0.317549,0.256576,0.346076,0.0693461
862,10:34:43,4.40628,0.547836,0.306734,0.013653,0.00874852,0.0148976
865,10:34:48,2.28013,0.204367,0.238786,0.24365,0.0720076,0.174773
868,10:34:53,3.33126,0.0222906,0.0158192,0.0746812,0.148116,0.120186
874,10:35:09,3.39093,0.193797,0.0654987,0.0509254,0.0929339,0.037351
877,10:35:14,4.36459,0.0329111,0.0298802,0.0705075,0.0251613,0.0120434
880,10:35:20,4.21453,0.0600149,0.0325547,0.0356119,0.0397337,0.0206459
886,10:35:40,1.08174,0.306864,0.317094,0.394882,0.556972,0.433966
889,10:35:47,1.76546,0.13107,0.707697,0.178657,0.208106,0.18558
892,10:35:53,1.59976,0.838262,0.876622,0.464379,0.0822585,0.175915
898,10:36:12,1.4916,0.266198,0.44931,0.216094,0.349288,0.259949
901,10:36:17,1.36878,0.331766,0.386323,0.442584,0.270005,0.265608
904,10:36:22,1.56124,0.549056,0.368326,0.354772,0.261905,0.151661
910,10:36:43,2.17843,0.442433,0.284935,0.199707,0.148097,0.0813661
913,10:36:49,2.99677,0.353476,0.0607606,0.0463772,0.125889,0.116307
916,10:36:55,1.24253,0.192107,0.278803,0.544735,0.569604,0.195909
922,10:37:14,3.40743,0.0378669,0.108574,0.0654831,0.0602449,0.0485677
925,10:37:19,4.73732,0.0253865,0.0163925,0.0293946,0.0242004,0.016715
928,10:37:24,2.18538,0.49141,0.364246,0.341094,0.104748,0.0500942
934,10:37:41,2.17587,0.963166,0.60336,0.16291,0.133884,0.0462822
937,10:37:46,2.41056,0.284209,0.139484,0.144097,0.0843282,0.242792
940,10:37:52,1.63571,0.236543,0.283168,0.610614,0.242393,0.107644
946,10:38:16,2.24683,0.177319,0.716779,0.0715269,0.161546,0.11004
949,10:38:20,2.29148,0.426354,0.100857,0.138503,0.200126,0.147955
952,10:38:24,1.06144,0.952669,0.447642,0.668563,0.32505,0.25648
958,10:38:46,2.65827,0.0488415,0.0394458,0.237281,0.161158,0.117658
961,10:38:50,2.40123,0.314344,0.160584,0.0789474,0.209378,0.128302
964,10:38:54,1.08956,0.109121,0.244369,0.472222,0.745737,0.40217
970,10:39:12,1.82447,0.264535,0.693095,0.323324,0.106601,0.143916
973,10:39:16,2.44256,0.336705,0.269514,0.135831,0.106059,0.0845417
976,10:39:21,2.19903,0.267928,0.308075,0.128717,0.159261,0.127952
982,10:45:47,6.60584,0.006306,0.00201948,0.00243032,0.00381878,0.0343044
985,10:45:57,2.2968,0.401707,0.162545,0.0486691,0.182369,0.392344
988,10:46:03,2.97862,0.130021,0.0837143,0.140214,0.0669398,0.0764519
994,10:46:21,2.15594,0.261154,0.141687,0.185118,0.225139,0.126609
997,10:46:27,3.31504,0.020287,0.0489226,0.0229149,0.16082,0.174851
1000,10:46:34,2.79771,0.344675,0.111253,0.0854657,0.124922,0.068146
1006,10:47:06,5.35253,0.011915,0.0298445,0.0127906,0.0107097,0.00917987
1009,10:47:18,1.51715,0.27515,0.223237,0.969437,0.254083,0.10832
1012,10:47:31,3.12613,0.0392756,0.0696835,0.0723222,0.0747393,0.146494
1018,10:47:59,5.74436,0.0362523,0.0256872,0.0132606,0.00566241,0.00362517
1021,10:48:06,2.72706,0.0595569,0.0763369,0.351418,0.112144,0.0452218
1024,10:48:10,2.7725,0.289298,0.20139,0.149318,0.0648184,0.0557944
1033,10:48:45,2.03182,0.0599849,0.504762,0.491488,0.143544,0.054309
1036,10:48:53,3.16785,0.0316993,0.205442,0.0538934,0.0926969,0.0506751
1039,10:49:01,3.97317,0.018783,0.0092,0.0525537,0.0851695,0.0559968
1045,10:49:28,3.53419,0.0535122,0.0749053,0.0397071,0.0626298,0.0663862
1048,10:49:34,4.28581,0.0200784,0.0642934,0.0170406,0.0511616,0.0204207
1051,10:49:40,2.1198,0.0571299,0.127315,0.401492,0.198319,0.119694
1060,10:50:35,3.64369,0.260375,0.0803832,0.0457394,0.0508401,0.0270409
1063,10:50:44,4.63176,0.0398793,0.0224793,0.0274993,0.016558,0.0298192
1066,10:50:53,5.28763,0.152526,0.00709179,0.0093675,0.0215122,0.0116118
1072,10:51:18,2.81918,0.0383993,0.0431831,0.357263,0.15121,0.0404045
1075,10:51:28,1.75043,0.831828,0.280554,0.107067,0.291331,0.31325
1078,10:51:35,3.88043,0.016076,0.0156681,0.0982614,0.0603579,0.0376659
1084,10:52:56,3.29991,0.0144274,0.121924,0.0515006,0.0794561,0.0835105
1087,10:53:09,6.34979,0.0100501,0.00782969,0.00466025,0.015513,0.00141988
1090,10:53:17,4.50296,0.0143023,0.0153691,0.0456682,0.0384178,0.0164652
1096,10:53:45,5.54964,0.0377003,0.0863521,0.012567,0.00370305,0.00466958
1099,10:53:53,4.35515,0.0201162,0.0488627,0.124402,0.0224779,0.00526586
1102,10:54:07,4.63785,0.0140528,0.0138613,0.0445405,0.0333249,0.013458
1108,10:56:11,2.32518,0.142001,0.264082,0.194207,0.0951303,0.134777
1111,10:56:17,3.88931,0.0436276,0.0554658,0.0472828,0.0447614,0.0296486
1114,10:56:32,2.05127,0.37903,0.275175,0.308966,0.134038,0.0974169
1120,10:56:49,1.80088,0.115985,0.280485,0.411022,0.197105,0.154995
1123,10:56:55,2.32199,0.140578,0.23587,0.193629,0.137533,0.0919496
1126,10:57:00,1.73756,0.226222,0.59152,0.206129,0.221795,0.158099
1132,11:03:22,3.22467,0.189673,0.0699313,0.0511028,0.0900068,0.071015
1135,11:03:29,1.81529,0.650572,0.387334,0.230201,0.128318,0.230451
