"","Plot","lai_mean","lai_sd","lai_n"
"1","1",4.26754,1.01521103938048,6
"2","10",1.89348216666667,0.961741812814732,6
"3","11",1.45651533333333,0.866566566733258,6
"4","12",2.46286,0.572350823464071,6
"5","13",1.58273316666667,0.689819484495014,6
"6","14",1.809016,0.936446781516387,6
"7","15",1.75135,0.801509630634592,6
"8","16",1.4942045,0.482288460274036,6
"9","17",3.33774166666667,0.536159913959135,6
"10","18",1.79208833333333,0.433126132548784,6
"11","19",1.16528416666667,0.601732118099879,6
"12","2",2.25885633333333,0.917688933245175,6
"13","20",4.352926,1.04829417811986,5
"14","21",3.61004333333333,1.36052454075135,6
"15","22",2.77133166666667,0.640058515369233,6
"16","23",2.418995,0.722092841807755,6
"17","24",1.44354683333333,0.554885236228327,6
"18","25",2.657615,0.673710817213142,6
"19","26 ",2.43633,0.30809652162918,6
"20","27",1.79247,0.45828779525534,6
"21","28",1.722315,0.416402410307625,6
"22","29",2.13756166666667,0.578198191571598,6
"23","3",1.76164166666667,0.477325219506226,6
"24","30",2.23416,0.465868463882242,6
"25","31",2.19339433333333,0.799123855041674,6
"26","32",1.94549166666667,0.215296289834885,6
"27","33",2.45790166666667,0.85034694760237,6
"28","34",2.0822675,0.834330069335572,6
"29","35",3.92294166666667,1.14293628416315,6
"30","36",3.66462,0.83009231178225,6
"31","37",1.47809666666667,0.233890378910007,6
"32","38",2.79131,1.21245743296827,6
"33","39",1.970315,0.520324954648535,6
"34","4",2.260311,1.23938231466404,6
"35","40",2.10252,0.570337947606505,6
"36","41",3.358325,1.64798406215291,6
"37","42",3.539955,1.65273144771617,6
"38","43",3.18544,0.940180448041757,6
"39","44",3.66885333333333,1.26454085610022,6
"40","45",4.78255,1.05115832046367,6
"41","46 ",2.354365,0.792037459991634,6
"42","47",4.55115,1.87378148795424,6
"43","48",3.47882166666667,0.73808836125268,6
"44","49",4.87793333333333,0.809484928325825,6
"45","5",2.27595166666667,0.813947803127858,6
"46","50",3.65181,0.972242315701184,6
"47","51",3.05012166666667,1.11808923548019,6
"48","52",3.95257116666667,2.43345590422596,6
"49","53",4.36268666666667,1.29290921120807,6
"50","54",4.26496833333333,1.45786339254975,6
"51","55",3.72758,0.924593715531314,6
"52","56",3.039735,0.736589753166578,6
"53","57",3.13539666666667,0.745425061764539,6
"54","58",4.37769,1.10329286942316,6
"55","59",3.45032333333333,0.556890161761425,6
"56","6",2.73571516666667,1.12550873528737,6
"57","60",3.55171666666667,0.58379054766814,6
"58","61",3.96579166666667,0.656773510197135,6
"59","62",3.397425,0.960955828011881,6
"60","63",3.865775,0.817133521004982,6
"61","64",4.6288,0.735652287048712,6
"62","65",3.834475,0.90742078628936,6
"63","66",3.978655,1.5852829095622,6
"64","67",3.74350666666667,1.09090335204667,6
"65","68",4.04580166666667,1.2461141062907,6
"66","69",3.532085,0.282888127622917,6
"67","7",2.1102,0.812927502597864,6
"68","70",5.50551833333333,2.51877069694259,6
"69","71",2.883295,0.645716701061696,6
"70","72",3.117865,0.605765473851061,6
"71","73",3.16208333333333,0.820490223943385,6
"72","74 ",4.66994333333333,0.718550023941734,6
"73","75",4.36906,1.14858339745967,6
"74","76",3.8324,1.24543075982569,6
"75","77",3.99545333333333,1.00561898213323,6
"76","78 ",5.76012666666667,0.940266655511439,6
"77","79",3.53124166666667,0.905895706147604,6
"78","8",1.56814166666667,0.348937329583217,6
"79","80",3.77642666666667,0.668500601844655,6
"80","81",4.48368333333333,1.47934401191429,6
"81","82",3.86982666666667,0.788719296395534,6
"82","9",3.40468333333333,1.6207757356114,6
